prefix,vendor,source,confidence,alt_sources,alt_vendors
001C57,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001C58,"Cisco Systems, Inc",ieee,1.0,"wireshark,nmap",Cisco | Cisco Systems
001C59,DEVON IT,ieee,1.0,"wireshark,nmap",DevonIt | Devon IT
001C5A,Advanced Relay Corporation,ieee,1.0,"wireshark,nmap",AdvancedRela | Advanced Relay
001C5B,Chubb Electronic Security Systems Ltd,ieee,1.0,"wireshark,nmap",ChubbElectro | Chubb Electronic Security Systems
001C5C,"Integrated Medical Systems, Inc.",ieee,1.0,"wireshark,nmap",IntegratedMe | Integrated Medical Systems
001C5D,Leica Microsystems,ieee,1.0,"wireshark,nmap",LeicaMicrosy | Leica Microsystems
001C5E,ASTON France,ieee,1.0,"wireshark,nmap",ASTONFrance | Aston France
001C5F,"Winland Electronics, Inc.",ieee,1.0,"wireshark,nmap",WinlandElect | Winland Electronics
001C60,"CSP Frontier Technologies,Inc.",ieee,1.0,"wireshark,nmap",CSPFrontierT | CSP Frontier Technologies
001C61,Galaxy  Microsystems LImited,ieee,1.0,"wireshark,nmap",GalaxyMicros | Galaxy  Microsystems LImited
001C62,LG Electronics (Mobile Communications),ieee,1.0,"wireshark,nmap",LGElectronic | LG Electronics (Mobile Communications)
001C63,TRUEN,ieee,1.0,"wireshark,nmap",Truen | Truen
001C64,Landis+Gyr,ieee,1.0,"wireshark,nmap",LandisGyr | Landis+Gyr
001C65,"JoeScan, Inc.",ieee,1.0,"wireshark,nmap",JoeScan | JoeScan
001C66,"UCAMP CO.,LTD",ieee,1.0,"wireshark,nmap",Ucamp | Ucamp
001C67,"Pumpkin Networks, Inc.",ieee,1.0,"wireshark,nmap",PumpkinNetwo | Pumpkin Networks
001C68,"Anhui Sun Create Electronics Co., Ltd",ieee,1.0,"wireshark,nmap",AnhuiSunCrea | Anhui Sun Create Electronics
001C69,Packet Vision Ltd,ieee,1.0,"wireshark,nmap",PacketVision | Packet Vision
001C6A,Weiss Engineering Ltd.,ieee,1.0,"wireshark,nmap",WeissEnginee | Weiss Engineering
001C6B,COVAX  Co. Ltd,ieee,1.0,"wireshark,nmap",COVAX | Covax
001C6C,30805,ieee,1.0,"wireshark,nmap",30805 | 30805
001C6D,"KYOHRITSU ELECTRONIC INDUSTRY CO., LTD.",ieee,1.0,"wireshark,nmap",KyohritsuEle | Kyohritsu Electronic Industry
